X;AD = 100
1.0;88.95228690272104 / 0.3743857671433375
2.0;88.45904153950156 / 0.37633925394148093
3.0;88.44814241550941 / 0.37764597900516605
4.0;88.4372433963534 / 0.37895404174672365
